timestamps,PPG1,PPG2,PPG3
1685718348.453,1879.000,108050.000,61826.000
1685718348.453,1868.000,108100.000,61821.000
1685718348.453,1879.000,108099.000,61832.000
1685718348.453,1878.000,108064.000,61824.000
1685718348.453,1876.000,108083.000,61820.000
1685718348.453,1884.000,108124.000,61840.000
1685718348.554,1868.000,108106.000,61848.000
1685718348.554,1889.000,108197.000,61846.000
1685718348.554,1878.000,108173.000,61859.000
1685718348.554,1888.000,108208.000,61860.000
1685718348.554,1881.000,108165.000,61861.000
1685718348.554,1879.000,108120.000,61846.000
1685718348.643,1882.000,108123.000,61827.000
1685718348.643,1869.000,108123.000,61852.000
1685718348.643,1883.000,108050.000,61848.000
1685718348.643,1868.000,108064.000,61819.000
1685718348.643,1880.000,108006.000,61834.000
1685718348.643,1874.000,107988.000,61818.000
1685718348.734,1877.000,107928.000,61808.000
1685718348.734,1876.000,107966.000,61817.000
1685718348.734,1870.000,107940.000,61803.000
1685718348.734,1876.000,107929.000,61785.000
1685718348.734,1865.000,107941.000,61805.000
1685718348.734,1881.000,107958.000,61800.000
1685718348.839,1864.000,107849.000,61773.000
1685718348.839,1871.000,107883.000,61794.000
1685718348.839,1871.000,107901.000,61782.000
1685718348.839,1869.000,107864.000,61786.000
1685718348.839,1875.000,107891.000,61801.000
1685718348.839,1863.000,107900.000,61812.000
1685718348.928,1879.000,107908.000,61784.000
1685718348.928,1864.000,107895.000,61811.000
1685718348.928,1880.000,107938.000,61783.000
1685718348.928,1864.000,107882.000,61796.000
1685718348.928,1867.000,107908.000,61795.000
1685718348.928,1870.000,107905.000,61793.000
1685718349.019,1868.000,107857.000,61817.000
1685718349.019,1878.000,107886.000,61816.000
1685718349.019,1866.000,107844.000,61810.000
1685718349.019,1874.000,107927.000,61811.000
1685718349.019,1869.000,107955.000,61827.000
1685718349.019,1874.000,107952.000,61816.000
1685718349.108,1871.000,107992.000,61811.000
1685718349.108,1867.000,107997.000,61839.000
1685718349.108,1877.000,107985.000,61852.000
1685718349.108,1869.000,107960.000,61839.000
1685718349.108,1880.000,108020.000,61854.000
1685718349.108,1870.000,108013.000,61870.000
1685718349.214,1881.000,108024.000,61864.000
1685718349.214,1871.000,107994.000,61862.000
1685718349.214,1876.000,108056.000,61874.000
1685718349.214,1880.000,108077.000,61902.000
1685718349.214,1874.000,108078.000,61883.000
1685718349.214,1880.000,108121.000,61891.000
1685718349.304,1873.000,108113.000,61898.000
1685718349.304,1879.000,108074.000,61896.000
1685718349.304,1872.000,108088.000,61887.000
1685718349.304,1872.000,108067.000,61911.000
1685718349.304,1871.000,108040.000,61895.000
1685718349.304,1863.000,108000.000,61873.000
1685718349.393,1873.000,107970.000,61850.000
1685718349.393,1859.000,107975.000,61854.000
1685718349.393,1873.000,107969.000,61866.000
1685718349.393,1861.000,107928.000,61869.000
1685718349.393,1868.000,107932.000,61853.000
1685718349.393,1861.000,107889.000,61842.000
1685718349.483,1861.000,107866.000,61838.000
1685718349.483,1869.000,107874.000,61848.000
1685718349.483,1861.000,107845.000,61841.000
1685718349.483,1874.000,107884.000,61828.000
1685718349.483,1861.000,107853.000,61828.000
1685718349.483,1871.000,107812.000,61854.000
1685718349.588,1860.000,107867.000,61834.000
1685718349.588,1865.000,107874.000,61837.000
1685718349.588,1868.000,107858.000,61821.000
1685718349.588,1860.000,107866.000,61832.000
1685718349.588,1870.000,107857.000,61834.000
1685718349.588,1860.000,107798.000,61830.000
1685718349.678,1871.000,107907.000,61853.000
1685718349.678,1858.000,107894.000,61843.000
1685718349.678,1867.000,107907.000,61851.000
1685718349.678,1861.000,107867.000,61867.000
1685718349.678,1861.000,107942.000,61858.000
1685718349.678,1870.000,107902.000,61840.000
1685718349.784,1855.000,107931.000,61856.000
1685718349.784,1871.000,107924.000,61878.000
1685718349.784,1858.000,107961.000,61866.000
1685718349.784,1867.000,107922.000,61890.000
1685718349.784,1863.000,107972.000,61880.000
1685718349.784,1865.000,108019.000,61892.000
1685718349.858,1865.000,107991.000,61909.000
1685718349.858,1862.000,108022.000,61896.000
1685718349.858,1877.000,107998.000,61897.000
1685718349.858,1863.000,108024.000,61899.000
1685718349.858,1872.000,108046.000,61904.000
1685718349.858,1865.000,108071.000,61908.000
1685718349.948,1871.000,108027.000,61919.000
1685718349.948,1873.000,108106.000,61944.000
1685718349.948,1870.000,108081.000,61918.000
1685718349.948,1876.000,108080.000,61933.000
1685718349.948,1861.000,108054.000,61926.000
1685718349.948,1875.000,108036.000,61904.000
1685718350.053,1858.000,108038.000,61897.000
1685718350.053,1866.000,107964.000,61886.000
1685718350.053,1858.000,107986.000,61888.000
1685718350.053,1856.000,107916.000,61891.000
1685718350.053,1861.000,107964.000,61881.000
1685718350.053,1851.000,107939.000,61914.000
1685718350.144,1868.000,107904.000,61896.000
1685718350.144,1854.000,107910.000,61884.000
1685718350.144,1862.000,107886.000,61871.000
1685718350.144,1852.000,107906.000,61886.000
1685718350.144,1857.000,107909.000,61897.000
1685718350.144,1859.000,107897.000,61885.000
1685718350.233,1851.000,107851.000,61858.000
1685718350.233,1861.000,107885.000,61870.000
1685718350.233,1847.000,107861.000,61882.000
1685718350.233,1863.000,107892.000,61897.000
1685718350.233,1852.000,107897.000,61877.000
1685718350.233,1859.000,107861.000,61898.000
1685718350.328,1855.000,107884.000,61875.000
1685718350.328,1858.000,107911.000,61889.000
1685718350.328,1863.000,107890.000,61890.000
1685718350.328,1854.000,107881.000,61901.000
1685718350.328,1866.000,107924.000,61892.000
1685718350.328,1854.000,107970.000,61905.000
1685718350.428,1864.000,107920.000,61892.000
1685718350.428,1853.000,107976.000,61901.000
1685718350.428,1857.000,107957.000,61934.000
1685718350.428,1860.000,107988.000,61922.000
1685718350.428,1847.000,107982.000,61915.000
1685718350.428,1861.000,108008.000,61923.000
1685718350.519,1848.000,108025.000,61950.000
1685718350.519,1860.000,108062.000,61959.000
1685718350.519,1851.000,108031.000,61935.000
1685718350.519,1859.000,108044.000,61944.000
1685718350.519,1857.000,108098.000,61952.000
1685718350.519,1853.000,108074.000,61962.000
1685718350.611,1861.000,108114.000,61973.000
1685718350.611,1851.000,108103.000,61964.000
1685718350.611,1865.000,108107.000,61981.000
1685718350.611,1851.000,108101.000,61975.000
1685718350.611,1861.000,108180.000,62017.000
1685718350.611,1855.000,108131.000,62002.000
1685718350.713,1852.000,108112.000,61968.000
1685718350.713,1855.000,108086.000,61978.000
1685718350.713,1844.000,108045.000,61959.000
1685718350.713,1853.000,108052.000,61937.000
1685718350.713,1839.000,108022.000,61960.000
