timestamps,X,Y,Z
1688639600.118,0.032,0.014,0.996
1688639600.118,0.028,0.013,1.002
1688639600.118,0.027,0.013,1.003
1688639600.179,0.029,0.011,1.000
1688639600.179,0.029,0.011,0.999
1688639600.179,0.030,0.005,1.000
1688639600.226,0.034,0.010,0.999
1688639600.226,0.033,0.006,1.000
1688639600.226,0.033,0.005,1.000
1688639600.299,0.027,0.012,1.001
1688639600.299,0.025,0.008,1.000
1688639600.299,0.028,0.013,0.998
1688639600.343,0.026,0.011,1.001
1688639600.343,0.027,0.015,1.004
1688639600.343,0.022,0.013,0.999
1688639600.403,0.021,0.014,1.003
1688639600.403,0.015,0.016,1.002
1688639600.403,0.014,0.011,1.001
1688639600.463,0.019,0.009,0.995
1688639600.463,0.018,0.009,0.998
1688639600.463,0.020,0.009,0.994
1688639600.509,0.017,0.007,0.998
1688639600.509,0.021,0.006,0.995
1688639600.509,0.019,0.010,0.997
1688639600.568,0.022,0.013,1.001
1688639600.568,0.020,0.011,1.000
1688639600.568,0.020,0.012,1.007
1688639600.628,0.021,0.011,0.996
1688639600.628,0.019,0.010,1.001
1688639600.628,0.012,0.012,1.004
1688639600.688,0.012,0.013,1.003
1688639600.688,0.011,0.013,1.000
1688639600.688,0.012,0.008,0.996
1688639600.736,0.010,0.011,0.999
1688639600.736,0.011,0.011,0.998
1688639600.736,0.005,0.012,0.999
1688639600.793,0.001,0.013,1.005
1688639600.793,-0.003,0.014,1.002
1688639600.793,-0.010,0.011,1.003
1688639600.853,-0.017,0.012,1.004
1688639600.853,-0.026,0.013,1.001
1688639600.853,-0.032,0.013,1.003
1688639600.914,-0.034,0.010,0.997
1688639600.914,-0.037,0.011,0.998
1688639600.914,-0.035,0.014,0.998
1688639600.973,-0.036,0.013,0.996
1688639600.973,-0.042,0.012,1.000
1688639600.973,-0.037,0.015,0.999
1688639601.021,-0.039,0.013,0.999
1688639601.021,-0.039,0.014,0.998
1688639601.021,-0.042,0.015,1.000
1688639601.079,-0.042,0.015,0.994
1688639601.079,-0.042,0.009,1.001
1688639601.079,-0.044,0.015,0.996
1688639601.138,-0.044,0.017,0.999
1688639601.138,-0.049,0.013,1.003
1688639601.138,-0.051,0.017,1.001
1688639601.228,-0.047,0.013,1.002
1688639601.228,-0.041,0.013,0.996
1688639601.228,-0.037,0.011,0.993
1688639601.243,-0.037,0.010,0.994
1688639601.243,-0.034,0.013,0.997
1688639601.243,-0.037,0.014,0.999
1688639601.303,-0.037,0.012,1.003
1688639601.303,-0.039,0.014,1.002
1688639601.303,-0.038,0.012,0.999
1688639601.363,-0.036,0.014,1.000
1688639601.363,-0.030,0.008,0.997
1688639601.363,-0.033,0.010,1.001
1688639601.423,-0.033,0.014,1.003
1688639601.423,-0.034,0.013,1.001
1688639601.423,-0.030,0.013,1.000
1688639601.470,-0.032,0.011,0.995
1688639601.470,-0.028,0.009,0.995
1688639601.470,-0.024,0.013,0.998
1688639601.531,-0.024,0.015,1.000
1688639601.531,-0.023,0.014,1.003
1688639601.531,-0.025,0.014,1.001
1688639601.588,-0.025,0.017,1.002
1688639601.588,-0.025,0.015,1.003
1688639601.588,-0.025,0.017,1.002
1688639601.648,-0.023,0.014,1.006
1688639601.648,-0.020,0.016,1.002
1688639601.648,-0.020,0.010,1.002
1688639601.707,-0.020,0.016,1.004
1688639601.707,-0.021,0.009,0.998
1688639601.707,-0.022,0.012,1.000
1688639601.755,-0.023,0.008,1.000
1688639601.755,-0.024,0.008,0.998
1688639601.755,-0.023,0.012,0.993
1688639601.816,-0.019,0.011,1.001
1688639601.816,-0.019,0.012,1.000
1688639601.816,-0.024,0.014,1.002
1688639601.873,-0.033,0.012,1.002
1688639601.873,-0.027,0.011,1.001
1688639601.873,-0.028,0.009,1.002
1688639601.933,-0.024,0.011,0.998
1688639601.933,-0.025,0.013,1.001
1688639601.933,-0.023,0.014,0.999
1688639601.978,-0.026,0.014,1.001
1688639601.978,-0.025,0.015,0.996
1688639601.978,-0.029,0.013,1.002
1688639602.040,-0.033,0.019,0.997
1688639602.040,-0.041,0.017,1.000
1688639602.040,-0.043,0.020,0.995
1688639602.101,-0.042,0.022,0.998
1688639602.101,-0.051,0.023,1.002
1688639602.101,-0.048,0.022,1.000
1688639602.161,-0.052,0.026,1.001
1688639602.161,-0.053,0.025,0.992
1688639602.161,-0.045,0.023,0.987
1688639602.203,-0.039,0.026,0.989
1688639602.203,-0.038,0.023,0.997
1688639602.203,-0.029,0.020,1.004
1688639602.263,-0.022,0.019,1.004
1688639602.263,-0.017,0.019,1.008
1688639602.263,-0.016,0.015,1.001
1688639602.323,-0.015,0.008,1.001
1688639602.323,-0.020,0.007,1.007
1688639602.323,-0.019,0.010,1.004
1688639602.384,-0.023,0.012,1.007
1688639602.384,-0.021,0.011,0.996
1688639602.384,-0.024,0.008,0.995
1688639602.429,-0.017,0.005,0.991
1688639602.429,-0.020,0.005,0.997
1688639602.429,-0.021,0.010,0.997
1688639602.488,-0.017,0.004,1.001
1688639602.488,-0.015,-0.000,1.000
1688639602.488,-0.011,-0.005,1.001
1688639602.548,-0.006,-0.001,0.999
1688639602.548,0.001,-0.003,1.000
1688639602.548,0.002,-0.004,1.005
1688639602.608,0.006,-0.002,1.008
1688639602.608,0.009,-0.001,1.010
1688639602.608,0.008,-0.000,1.009
1688639602.656,0.006,-0.001,1.002
1688639602.656,0.009,-0.000,0.998
1688639602.656,0.011,-0.000,1.000
1688639602.713,0.011,0.002,0.999
1688639602.713,0.009,0.001,0.998
1688639602.713,0.011,0.002,0.998
1688639602.773,0.009,0.004,0.998
1688639602.773,0.011,0.006,0.999
1688639602.773,0.003,0.005,1.005
1688639602.833,0.006,0.007,0.999
1688639602.833,0.008,0.011,0.995
1688639602.833,0.005,0.006,1.003
1688639602.893,0.007,0.012,1.007
1688639602.893,0.009,0.009,1.003
1688639602.893,0.008,0.009,1.000
1688639602.941,0.006,0.008,0.999
1688639602.941,0.010,0.006,0.998
1688639602.941,0.012,0.005,1.003
1688639602.998,0.011,0.008,1.000
1688639602.998,0.014,0.008,1.004
1688639602.998,0.012,0.006,1.000
1688639603.058,0.012,0.005,1.005
1688639603.058,0.010,0.000,1.002
1688639603.058,0.007,0.005,1.001
1688639603.118,0.012,0.009,1.001
1688639603.118,0.007,0.007,1.000
1688639603.118,0.010,0.003,0.998
1688639603.180,0.011,0.006,0.998
1688639603.180,0.014,0.003,1.003
1688639603.180,0.012,0.004,0.998
1688639603.225,0.013,0.004,1.001
1688639603.225,0.008,0.001,1.003
1688639603.225,0.011,0.006,0.996
1688639603.283,0.012,0.001,1.000
1688639603.283,0.008,0.001,0.998
1688639603.283,0.009,0.004,0.994
1688639603.343,0.001,0.001,0.995
1688639603.343,-0.005,0.007,1.012
1688639603.343,-0.022,0.038,0.996
1688639603.402,-0.020,0.010,1.003
1688639603.402,-0.033,0.012,1.000
1688639603.402,-0.046,0.018,0.996
1688639603.462,-0.059,0.022,0.997
1688639603.462,-0.073,0.026,0.995
1688639603.462,-0.085,0.033,0.995
1688639603.508,-0.092,0.042,0.991
1688639603.508,-0.101,0.042,0.989
1688639603.508,-0.109,0.045,0.989
1688639603.584,-0.112,0.048,0.988
1688639603.584,-0.114,0.050,0.990
1688639603.584,-0.117,0.051,0.999
1688639603.628,-0.128,0.052,1.000
1688639603.628,-0.132,0.054,1.005
1688639603.628,-0.137,0.052,0.998
1688639603.687,-0.133,0.054,0.996
1688639603.687,-0.136,0.055,0.990
1688639603.687,-0.136,0.057,0.987
1688639603.748,-0.148,0.058,0.988
1688639603.748,-0.150,0.060,0.990
1688639603.748,-0.157,0.065,0.989
1688639603.793,-0.161,0.067,0.985
