timestamps,TP9,AF7,AF8,TP10,Right AUX
1688639600.071,-36.621,-38.086,-38.086,-27.344,-110.352
1688639600.075,-35.645,-48.828,-39.062,-21.973,-114.746
1688639600.079,-28.809,-53.223,-32.715,-22.461,88.379
1688639600.083,-25.879,-37.598,-39.551,-33.691,267.090
1688639600.087,-29.297,-26.855,-41.016,-32.227,-101.562
1688639600.091,-29.297,-29.785,-32.227,-27.344,-216.797
1688639600.095,-11.719,-28.320,-30.762,-24.414,126.465
1688639600.098,-18.066,-21.484,-27.344,-14.160,312.988
1688639600.102,-34.668,-28.320,-28.320,-17.578,-67.383
1688639600.106,-30.273,-33.203,-31.738,-18.066,-228.027
1688639600.110,-27.832,-34.668,-31.250,-20.996,-125.000
1688639600.114,-32.715,-37.109,-26.367,-28.320,-156.250
1688639600.117,-28.809,-41.016,-25.391,-25.879,-178.223
1688639600.121,-27.832,-47.363,-32.227,-34.180,-109.375
1688639600.125,-38.086,-37.109,-36.621,-40.039,-84.473
1688639600.129,-44.434,-30.762,-37.598,-40.527,-121.094
1688639600.133,-39.062,-35.156,-34.668,-43.457,-138.672
1688639600.137,-35.645,-43.457,-29.297,-44.434,-50.293
1688639600.141,-41.016,-43.457,-31.738,-41.504,327.148
1688639600.144,-44.434,-38.574,-34.180,-35.156,202.637
1688639600.148,-46.875,-38.574,-35.645,-39.551,-190.430
1688639600.152,-42.969,-35.156,-37.598,-41.504,-157.227
1688639600.156,-37.598,-32.715,-31.250,-33.203,-112.793
1688639600.160,-42.480,-28.320,-31.250,-33.203,-142.578
1688639600.176,-43.945,-39.062,-37.109,-32.715,-136.719
1688639600.180,-33.203,-42.480,-36.621,-31.738,-107.910
1688639600.184,-32.715,-34.668,-30.273,-31.250,35.156
1688639600.188,-24.902,-35.645,-26.855,-23.438,-0.977
1688639600.192,-12.695,-33.203,-32.227,-24.902,-149.902
1688639600.196,-15.137,-31.250,-32.715,-20.508,83.496
1688639600.200,-27.344,-27.832,-36.133,-27.832,438.965
1688639600.203,-28.320,-40.527,-45.898,-40.527,150.879
1688639600.207,-30.273,-62.988,-45.410,-33.203,-95.703
1688639600.211,-33.203,-45.410,-38.574,-32.715,116.211
1688639600.215,-28.809,-16.602,-32.227,-26.855,85.938
1688639600.219,-29.297,-16.113,-29.297,-29.785,-138.184
1688639600.222,-40.527,-20.020,-34.180,-37.598,-112.793
1688639600.226,-48.340,-21.973,-32.715,-33.203,-21.484
1688639600.230,-42.969,-24.902,-29.785,-31.250,-19.531
1688639600.234,-22.461,-27.832,-34.668,-20.996,-68.359
1688639600.238,-31.738,-38.086,-32.227,-30.762,-65.918
1688639600.242,-56.641,-41.504,-20.020,-42.969,23.438
1688639600.246,-59.082,-36.133,-22.461,-44.434,115.723
1688639600.249,-50.781,-26.367,-28.320,-43.945,63.965
1688639600.253,-39.551,-24.902,-26.855,-35.645,17.090
1688639600.257,-42.969,-31.250,-26.367,-24.902,364.746
1688639600.261,-48.828,-40.039,-24.902,-19.043,234.375
1688639600.265,-41.992,-45.410,-30.273,-22.949,-108.398
1688639600.265,-34.180,-29.297,-30.273,-26.367,-64.453
1688639600.269,-36.621,-33.691,-25.879,-37.109,-73.242
1688639600.273,-35.156,-35.645,-26.855,-37.598,-130.371
1688639600.277,-34.180,-19.043,-28.809,-27.344,-173.340
1688639600.281,-35.645,-18.066,-31.250,-29.297,-56.152
1688639600.285,-29.297,-36.133,-25.879,-24.414,50.293
1688639600.289,-27.344,-44.922,-27.832,-19.531,-3.906
1688639600.292,-42.480,-18.066,-35.645,-38.086,-126.953
1688639600.296,-42.480,-2.930,-25.879,-35.156,36.621
1688639600.300,-32.227,-19.531,-26.367,-20.996,318.359
1688639600.304,-20.020,-20.508,-28.809,-32.715,4.883
1688639600.308,-15.625,-21.484,-23.926,-29.785,-109.375
1688639600.310,-26.855,-26.855,-22.461,-19.531,93.750
1688639600.314,-38.574,-26.367,-29.297,-21.973,35.645
1688639600.318,-42.480,-22.461,-34.668,-35.156,-195.801
1688639600.322,-42.480,-21.484,-30.273,-40.039,-167.480
1688639600.326,-30.762,-23.438,-24.902,-25.391,135.742
1688639600.330,-25.391,-20.508,-25.391,-31.738,103.027
1688639600.334,-26.855,-15.625,-28.809,-37.109,-117.188
1688639600.337,-15.625,-20.020,-27.832,-29.297,-128.906
1688639600.341,-20.996,-28.320,-33.203,-25.879,168.945
1688639600.345,-27.832,-28.809,-30.273,-25.879,57.617
1688639600.349,-23.926,-23.926,-22.461,-30.273,-227.539
1688639600.353,-25.879,-21.973,-20.020,-23.438,-187.012
1688639600.356,-26.855,-39.551,-25.391,-20.020,-128.906
1688639600.360,-34.668,-37.109,-35.156,-25.879,-93.262
1688639600.364,-37.598,-19.043,-38.086,-29.785,-105.957
1688639600.368,-31.250,-20.020,-36.133,-28.320,-11.230
1688639600.372,-23.926,-32.227,-29.785,-12.695,165.527
1688639600.376,-23.926,-33.203,-27.832,-16.602,39.551
1688639600.380,-26.367,-21.484,-27.344,-29.785,-37.109
1688639600.383,-28.320,-22.461,-18.555,-24.902,105.957
1688639600.387,-23.438,-24.902,-12.695,-17.578,104.980
1688639600.391,-24.902,-21.484,-19.043,-26.855,-211.914
1688639600.395,-32.715,-32.715,-31.250,-33.203,-225.586
1688639600.399,-23.926,-34.180,-34.668,-31.250,-84.473
1688639600.400,-29.297,-34.668,-34.180,-34.668,-109.375
1688639600.404,-41.504,-28.320,-35.156,-32.715,-187.988
1688639600.408,-29.297,-19.531,-33.691,-33.203,-178.711
1688639600.412,-23.926,-21.484,-35.156,-38.574,-58.594
1688639600.416,-31.250,-20.996,-34.668,-36.621,-4.883
1688639600.420,-31.250,-28.320,-26.855,-28.809,9.766
1688639600.424,-24.902,-30.762,-23.438,-26.855,74.219
1688639600.427,-25.391,-33.203,-25.391,-25.391,299.316
1688639600.431,-20.508,-32.227,-25.879,-22.949,142.578
1688639600.435,-33.203,-26.367,-30.273,-32.715,-193.848
1688639600.439,-51.758,-33.203,-34.668,-42.480,-144.043
1688639600.443,-37.598,-31.738,-28.809,-36.621,-48.340
1688639600.445,-28.320,-18.555,-22.461,-37.598,-138.672
