timestamps,X,Y,Z
1688639600.117,-2.153,2.034,0.194
1688639600.117,-2.131,1.548,0.381
1688639600.117,-2.108,1.832,0.568
1688639600.178,-2.393,1.847,1.017
1688639600.178,-2.183,1.757,1.234
1688639600.178,-1.944,1.705,1.346
1688639600.225,-2.198,1.585,1.002
1688639600.225,-2.467,0.920,0.546
1688639600.225,-2.527,0.710,0.254
1688639600.298,-2.565,0.927,0.187
1688639600.298,-2.303,0.935,0.419
1688639600.298,-2.430,0.516,0.419
1688639600.342,-2.609,0.247,0.523
1688639600.342,-2.265,0.007,0.419
1688639600.342,-2.273,0.150,0.239
1688639600.402,-2.280,0.643,0.359
1688639600.402,-1.989,1.174,0.546
1688639600.402,-1.495,1.241,0.897
1688639600.462,-1.720,1.383,1.264
1688639600.462,-1.944,1.832,1.308
1688639600.462,-1.944,1.914,1.136
1688639600.508,-2.228,2.108,1.279
1688639600.508,-2.094,1.944,1.241
1688639600.508,-2.146,1.824,0.875
1688639600.567,-1.966,1.226,0.366
1688639600.567,-2.333,0.905,0.232
1688639600.567,-1.914,0.254,0.142
1688639600.628,-2.041,-0.501,-0.135
1688639600.628,-2.318,-0.942,-0.486
1688639600.628,-2.333,-1.473,-0.950
1688639600.688,-2.452,-2.273,-1.189
1688639600.688,-2.004,-2.766,-1.181
1688639600.688,-2.146,-3.200,-1.136
1688639600.735,-1.966,-3.948,-1.989
1688639600.735,-2.355,-4.389,-2.550
1688639600.735,-2.251,-5.032,-3.208
1688639600.792,-2.273,-5.196,-3.828
1688639600.792,-2.108,-5.032,-4.157
1688639600.792,-2.049,-5.338,-4.890
1688639600.852,-2.026,-5.002,-5.024
1688639600.852,-2.123,-4.688,-4.703
1688639600.852,-2.004,-3.664,-4.494
1688639600.913,-1.839,-2.430,-3.634
1688639600.913,-1.936,-1.585,-2.408
1688639600.913,-1.899,-1.226,-1.809
1688639600.957,-2.161,-0.740,-1.428
1688639600.957,-2.505,-0.239,-0.665
1688639600.957,-2.251,0.329,0.292
1688639601.020,-2.415,0.426,0.591
1688639601.020,-2.512,0.725,0.740
1688639601.020,-2.064,0.920,0.688
1688639601.077,-1.862,1.166,0.598
1688639601.077,-2.086,1.368,1.009
1688639601.077,-2.183,1.608,0.822
1688639601.137,-2.176,1.787,0.239
1688639601.137,-2.303,2.340,0.381
1688639601.137,-2.153,3.178,0.680
1688639601.227,-1.817,3.753,1.024
1688639601.227,-1.540,4.120,1.151
1688639601.227,-1.525,4.314,0.942
1688639601.242,-1.936,4.404,0.538
1688639601.242,-2.467,4.538,0.456
1688639601.242,-2.437,4.516,0.157
1688639601.303,-2.572,4.710,0.202
1688639601.303,-2.086,4.778,0.179
1688639601.303,-2.049,4.793,0.344
1688639601.362,-1.757,4.613,0.269
1688639601.362,-1.854,4.576,0.606
1688639601.362,-2.385,4.299,0.665
1688639601.422,-2.340,4.299,0.404
1688639601.422,-2.086,4.180,0.434
1688639601.422,-2.094,4.262,0.636
1688639601.469,-2.108,4.419,0.553
1688639601.469,-2.236,4.381,0.725
1688639601.469,-2.864,4.239,0.688
1688639601.530,-2.520,4.479,0.359
1688639601.530,-2.303,4.494,0.090
1688639601.530,-2.168,4.471,-0.583
1688639601.587,-2.064,4.322,-0.658
1688639601.587,-2.183,4.284,-0.217
1688639601.587,-2.318,4.052,0.314
1688639601.647,-1.929,3.634,1.039
1688639601.647,-1.622,3.746,1.099
1688639601.647,-1.548,3.731,1.443
1688639601.692,-1.503,3.297,1.129
1688639601.692,-1.540,2.991,1.032
1688639601.692,-1.959,2.325,1.122
1688639601.754,-1.951,2.325,0.852
1688639601.754,-2.019,2.796,0.867
1688639601.754,-2.251,2.729,1.032
1688639601.815,-2.520,2.594,0.695
1688639601.815,-2.811,0.000,0.247
1688639601.815,-3.133,1.951,0.157
1688639601.872,-2.766,2.034,-0.150
1688639601.872,-2.213,1.907,-0.172
1688639601.872,-2.303,1.981,-0.030
1688639601.932,-2.535,2.101,0.164
1688639601.932,-2.677,1.936,0.022
1688639601.932,-2.931,1.854,-0.411
1688639601.977,-3.021,1.779,-0.187
1688639601.977,-2.789,1.293,-0.037
1688639601.977,-2.632,1.017,-0.194
1688639602.039,-2.931,1.398,-0.202
1688639602.039,-3.140,1.675,0.172
1688639602.039,-2.916,1.966,0.441
1688639602.100,-3.095,2.265,0.867
1688639602.100,-2.759,2.766,0.725
1688639602.100,-2.333,3.701,0.785
1688639602.160,-1.742,5.047,1.136
1688639602.160,-1.353,6.034,1.353
1688639602.160,-0.875,6.647,1.779
1688639602.202,-0.867,7.095,2.094
1688639602.202,-0.643,7.267,2.071
1688639602.202,-0.920,7.738,2.303
1688639602.262,-0.568,7.768,2.071
1688639602.262,-0.359,7.342,1.914
1688639602.262,-0.351,6.131,1.794
1688639602.322,-0.523,5.518,2.034
1688639602.322,-1.069,4.568,1.966
1688639602.322,-1.293,4.008,2.258
1688639602.384,-1.428,4.052,2.370
1688639602.384,-1.211,4.351,2.325
1688639602.384,-0.785,4.553,2.265
1688639602.428,-0.628,5.062,2.116
1688639602.428,-0.067,5.226,1.839
1688639602.428,-0.366,5.742,1.675
1688639602.487,-0.172,6.109,1.884
1688639602.487,0.082,6.662,2.206
1688639602.487,-0.381,6.931,2.512
1688639602.547,-0.882,7.230,2.467
1688639602.547,-0.950,7.125,2.034
1688639602.547,-1.151,7.028,2.108
1688639602.607,-1.249,6.707,1.899
1688639602.607,-1.196,6.408,1.122
1688639602.607,-1.608,6.527,1.077
1688639602.655,-1.951,6.684,1.107
1688639602.655,-2.101,6.325,0.636
1688639602.655,-2.393,5.869,0.493
1688639602.712,-2.744,5.211,0.396
1688639602.712,-2.722,4.718,0.336
1688639602.712,-2.864,4.434,0.194
1688639602.772,-2.849,4.471,-0.179
1688639602.772,-2.707,4.867,-0.703
1688639602.772,-2.497,5.421,-0.897
1688639602.832,-2.490,5.331,-0.807
1688639602.832,-2.512,5.196,-0.867
1688639602.832,-2.467,4.740,-1.017
1688639602.892,-2.565,4.337,-0.987
1688639602.892,-2.505,3.925,-0.665
1688639602.892,-1.907,3.649,-0.523
1688639602.940,-2.071,3.671,0.082
1688639602.940,-2.108,3.619,0.142
1688639602.940,-2.363,3.237,0.277
1688639602.997,-2.467,3.223,0.351
1688639602.997,-2.101,3.417,0.127
1688639602.997,-1.779,2.931,-0.105
1688639603.057,-1.809,2.744,0.075
1688639603.057,-2.131,2.834,0.329
1688639603.057,-2.146,2.654,0.695
1688639603.117,-1.907,2.781,0.852
1688639603.117,-2.071,2.901,1.069
1688639603.117,-2.116,2.684,1.391
1688639603.179,-2.153,2.430,1.436
1688639603.179,-2.191,2.213,1.136
1688639603.179,-2.273,2.243,1.249
1688639603.224,-2.079,2.086,0.860
1688639603.224,-1.787,1.929,0.636
1688639603.224,-1.989,1.473,0.568
1688639603.282,-2.594,1.256,0.613
1688639603.282,-3.080,0.419,0.576
1688639603.282,-3.649,-2.056,0.957
1688639603.342,-4.591,-7.552,2.041
1688639603.342,-5.495,-15.806,3.970
1688639603.342,-7.410,-24.935,6.953
1688639603.402,-9.309,-29.900,10.206
1688639603.402,-11.350,-31.896,12.980
1688639603.402,-12.845,-32.816,14.916
1688639603.450,-14.161,-31.530,15.911
1688639603.450,-14.438,-27.231,16.628
1688639603.450,-13.742,-23.141,16.322
1688639603.508,-12.411,-19.036,14.984
1688639603.508,-11.881,-15.716,13.974
1688639603.508,-10.909,-13.331,12.187
1688639603.567,-9.638,-11.125,10.617
1688639603.567,-8.681,-8.815,9.017
1688639603.567,-7.664,-6.909,7.148
1688639603.627,-6.445,-5.742,5.077
1688639603.627,-5.585,-5.084,3.178
1688639603.627,-4.852,-3.768,1.660
1688639603.672,-4.254,-3.275,0.486
1688639603.672,-4.030,-2.565,-0.628
1688639603.672,-3.753,-2.153,-1.630
1688639603.747,-3.738,-2.378,-2.101
1688639603.747,-3.589,-2.684,-2.505
1688639603.747,-4.090,-2.804,-2.310
1688639603.792,-3.940,-3.036,-2.236
1688639603.792,-3.604,-3.454,-1.720
1688639603.792,-3.394,-3.828,-1.077
1688639603.852,-3.095,-3.925,-0.538
1688639603.852,-3.297,-3.574,0.097
1688639603.852,-3.357,-3.664,0.793
1688639603.897,-3.522,-3.866,1.092
1688639603.897,-3.327,-3.237,1.219
1688639603.897,-3.193,-2.976,1.293
1688639603.957,-2.856,-3.559,1.271
1688639603.957,-3.290,-3.694,0.845
1688639603.957,-3.140,-3.447,0.007
1688639604.020,-2.864,-3.409,-0.950
1688639604.020,-2.819,-3.604,-1.735
1688639604.020,-2.557,-4.045,-2.108
1688639604.077,-2.019,-4.299,-2.647
