timestamps,PPG1,PPG2,PPG3
1688639600.163,621.000,103668.000,43714.000
1688639600.163,622.000,103708.000,43726.000
1688639600.163,621.000,103741.000,43718.000
1688639600.163,621.000,103720.000,43745.000
1688639600.163,619.000,103751.000,43730.000
1688639600.163,620.000,103771.000,43762.000
1688639600.268,622.000,103781.000,43758.000
1688639600.268,622.000,103802.000,43782.000
1688639600.268,622.000,103793.000,43784.000
1688639600.268,623.000,103849.000,43774.000
1688639600.268,623.000,103839.000,43789.000
1688639600.268,623.000,103860.000,43801.000
1688639600.343,622.000,103901.000,43805.000
1688639600.343,624.000,103876.000,43817.000
1688639600.343,624.000,103918.000,43826.000
1688639600.343,622.000,104000.000,43830.000
1688639600.343,624.000,103950.000,43824.000
1688639600.343,624.000,104021.000,43844.000
1688639600.432,624.000,103998.000,43823.000
1688639600.432,623.000,104011.000,43858.000
1688639600.432,622.000,103964.000,43845.000
1688639600.432,623.000,103917.000,43811.000
1688639600.432,622.000,103957.000,43812.000
1688639600.432,623.000,103883.000,43787.000
1688639600.522,623.000,103824.000,43781.000
1688639600.522,620.000,103839.000,43763.000
1688639600.522,623.000,103811.000,43788.000
1688639600.522,622.000,103758.000,43764.000
1688639600.522,623.000,103765.000,43770.000
1688639600.522,623.000,103754.000,43760.000
1688639600.628,623.000,103717.000,43779.000
1688639600.628,625.000,103748.000,43749.000
1688639600.628,623.000,103760.000,43752.000
1688639600.628,624.000,103738.000,43777.000
1688639600.628,624.000,103737.000,43756.000
1688639600.628,623.000,103730.000,43760.000
1688639600.717,626.000,103740.000,43774.000
1688639600.717,625.000,103747.000,43772.000
1688639600.717,627.000,103748.000,43791.000
1688639600.717,624.000,103745.000,43771.000
1688639600.717,626.000,103754.000,43765.000
1688639600.717,625.000,103708.000,43787.000
1688639600.807,625.000,103729.000,43780.000
1688639600.807,627.000,103731.000,43780.000
1688639600.807,626.000,103749.000,43792.000
1688639600.807,630.000,103818.000,43803.000
1688639600.807,628.000,103860.000,43807.000
1688639600.807,630.000,103821.000,43823.000
1688639600.898,630.000,103836.000,43828.000
1688639600.898,629.000,103860.000,43818.000
1688639600.898,632.000,103888.000,43833.000
1688639600.898,631.000,103944.000,43845.000
1688639600.898,633.000,103927.000,43862.000
1688639600.898,634.000,104007.000,43871.000
1688639601.003,633.000,104011.000,43881.000
1688639601.003,634.000,103954.000,43855.000
1688639601.003,632.000,104023.000,43872.000
1688639601.003,633.000,104044.000,43896.000
1688639601.003,635.000,104144.000,43919.000
1688639601.003,636.000,104128.000,43925.000
1688639601.092,634.000,104131.000,43945.000
1688639601.092,637.000,104156.000,43929.000
1688639601.092,635.000,104171.000,43946.000
1688639601.092,636.000,104196.000,43966.000
1688639601.092,636.000,104241.000,43974.000
1688639601.092,636.000,104241.000,43958.000
1688639601.182,637.000,104274.000,43959.000
1688639601.182,636.000,104297.000,43979.000
1688639601.182,636.000,104268.000,43965.000
1688639601.182,634.000,104244.000,43949.000
1688639601.182,633.000,104177.000,43934.000
1688639601.182,634.000,104190.000,43951.000
1688639601.272,633.000,104161.000,43918.000
1688639601.272,634.000,104074.000,43936.000
1688639601.272,635.000,104088.000,43924.000
1688639601.272,634.000,104083.000,43919.000
1688639601.272,634.000,104002.000,43896.000
1688639601.272,635.000,104020.000,43901.000
1688639601.377,633.000,103988.000,43888.000
1688639601.377,636.000,104055.000,43908.000
1688639601.377,634.000,103984.000,43906.000
1688639601.377,635.000,103972.000,43900.000
1688639601.377,634.000,104051.000,43910.000
1688639601.377,636.000,104023.000,43883.000
1688639601.467,633.000,104016.000,43885.000
1688639601.467,634.000,103988.000,43890.000
1688639601.467,633.000,103980.000,43881.000
1688639601.467,633.000,103988.000,43900.000
1688639601.467,634.000,103984.000,43890.000
1688639601.467,632.000,103973.000,43904.000
1688639601.557,635.000,103981.000,43877.000
1688639601.557,634.000,104002.000,43865.000
1688639601.557,633.000,103953.000,43882.000
1688639601.557,634.000,103962.000,43877.000
1688639601.557,634.000,104000.000,43902.000
1688639601.557,635.000,104014.000,43885.000
1688639601.649,634.000,104030.000,43903.000
1688639601.649,634.000,104049.000,43918.000
1688639601.649,635.000,104079.000,43903.000
1688639601.649,634.000,104064.000,43912.000
1688639601.649,634.000,104089.000,43896.000
1688639601.649,634.000,104099.000,43935.000
1688639601.752,636.000,104088.000,43918.000
1688639601.752,635.000,104133.000,43918.000
1688639601.752,634.000,104170.000,43910.000
1688639601.752,634.000,104129.000,43939.000
1688639601.752,635.000,104118.000,43905.000
1688639601.752,635.000,104189.000,43941.000
