timestamps,TP9,AF7,AF8,TP10,Right AUX
1692210145.157,-9.277,-33.203,-13.672,0.000,-10.254
1692210145.161,-22.461,-38.086,-10.742,-22.949,-61.523
1692210145.165,-32.715,-38.086,-14.160,-42.969,-128.418
1692210145.169,-41.016,-34.180,-18.066,-30.762,30.762
1692210145.173,-30.273,-37.109,-16.113,-6.836,150.391
1692210145.177,-23.438,-40.039,-19.043,-12.695,50.293
1692210145.181,-29.297,-41.504,-18.066,-27.344,-24.414
1692210145.184,-30.762,-49.805,-13.672,-32.227,149.414
1692210145.188,-27.832,-55.176,-13.184,-21.484,367.676
1692210145.192,-15.137,-53.711,-15.625,-8.301,85.449
1692210145.196,-4.395,-56.641,-18.555,-7.812,-159.668
1692210145.200,-20.996,-56.152,-15.137,-26.367,-103.516
1692210145.219,-32.227,-51.758,-14.160,-42.969,-134.766
1692210145.223,-34.180,-56.152,-23.438,-40.039,-203.613
1692210145.227,-36.133,-61.523,-19.043,-25.391,-161.621
1692210145.231,-34.668,-61.523,-15.625,-18.066,-52.246
1692210145.235,-33.203,-61.035,-19.043,-33.691,-63.477
1692210145.239,-41.992,-59.082,-19.043,-50.781,-95.215
1692210145.243,-52.734,-55.176,-20.508,-46.875,62.012
1692210145.246,-33.691,-55.664,-19.531,-25.879,208.008
1692210145.250,-17.578,-56.152,-19.531,-14.160,32.715
1692210145.254,-22.461,-50.293,-15.137,-21.973,-154.785
1692210145.258,-41.016,-49.805,-14.648,-38.574,-70.801
1692210145.262,-46.387,-50.781,-16.113,-41.016,218.750
1692210145.247,-27.832,-44.434,-14.648,-19.043,34.180
1692210145.251,-19.531,-44.922,-13.184,-4.883,-170.898
1692210145.255,-24.414,-44.922,-15.137,-3.906,-42.480
1692210145.259,-34.180,-37.598,-18.555,-20.508,-50.293
1692210145.263,-40.527,-28.809,-14.160,-34.180,-113.281
1692210145.267,-34.180,-31.738,-10.742,-9.277,30.762
1692210145.271,-20.020,-37.598,-11.719,5.859,113.281
1692210145.274,-17.090,-35.156,-11.719,-7.812,-37.598
1692210145.278,-27.832,-35.645,-11.230,-27.344,-64.941
1692210145.282,-34.180,-30.762,-14.160,-31.250,-134.766
1692210145.286,-26.855,-37.598,-13.184,-10.254,89.844
1692210145.290,-18.555,-42.969,-12.207,8.789,513.184
1692210145.294,-15.137,-33.691,-11.719,5.371,186.523
1692210145.298,-18.555,-36.621,-12.695,-15.137,-156.250
1692210145.302,-21.973,-37.598,-18.555,-31.738,-149.414
1692210145.306,-15.625,-30.762,-18.555,-13.184,-184.570
1692210145.310,-2.441,-33.203,-16.113,7.324,-182.129
1692210145.314,6.836,-34.180,-16.113,6.348,-48.340
1692210145.318,-2.441,-28.320,-15.137,-16.113,175.781
1692210145.321,-25.879,-28.809,-17.090,-36.133,-5.371
1692210145.325,-44.434,-32.715,-19.531,-31.738,-189.453
1692210145.329,-39.551,-34.668,-20.996,-20.020,-11.230
1692210145.333,-34.668,-30.273,-18.555,-20.508,106.445
1692210145.337,-45.410,-27.832,-20.996,-43.945,-44.922
1692210145.352,-59.570,-28.809,-20.996,-58.594,-195.801
1692210145.356,-48.828,-29.785,-19.043,-44.922,-20.508
1692210145.360,-36.133,-31.250,-25.879,-23.438,108.887
1692210145.364,-34.180,-25.391,-22.949,-14.648,-3.418
1692210145.368,-31.738,-30.762,-13.184,-28.809,-61.523
1692210145.372,-40.039,-37.598,-11.230,-35.645,151.367
1692210145.376,-44.434,-34.668,-10.742,-24.414,396.484
1692210145.379,-35.645,-23.438,-11.230,-11.230,20.020
1692210145.383,-30.273,-18.555,-17.090,-9.766,-192.871
1692210145.387,-32.227,-20.996,-16.602,-22.461,-125.488
1692210145.391,-40.527,-19.043,-19.043,-35.645,-155.273
1692210145.395,-47.363,-26.855,-19.043,-38.086,-206.543
1692210145.397,-37.598,-32.227,-16.113,-23.438,-96.191
1692210145.401,-29.297,-20.020,-13.184,-5.859,5.371
1692210145.405,-24.414,-10.254,-9.277,-13.184,-108.398
1692210145.409,-34.180,-9.766,-8.789,-33.691,-204.590
1692210145.413,-47.852,-12.695,-8.789,-35.645,-145.020
1692210145.417,-33.691,-12.207,-11.230,-12.207,50.781
1692210145.421,-20.508,-12.695,-10.254,-3.906,102.051
1692210145.424,-23.926,-21.973,-8.301,-23.926,-58.594
1692210145.428,-32.715,-25.391,-10.742,-37.598,-95.215
1692210145.432,-43.945,-24.902,-12.207,-33.691,169.922
1692210145.436,-42.969,-28.320,-12.695,-14.648,48.340
