timestamps,X,Y,Z
1692133599.239,-1.847,2.886,-0.022
1692133599.239,-1.824,2.624,0.127
1692133599.239,-1.376,2.512,0.381
1692133599.297,-1.630,2.587,0.822
1692133599.297,-1.794,2.699,1.368
1692133599.297,-2.265,2.938,1.772
1692133599.358,-1.966,2.766,1.809
1692133599.358,-1.951,2.781,1.839
1692133599.358,-2.236,2.968,1.615
1692133599.403,-1.862,2.953,1.219
1692133599.403,-1.750,2.968,1.084
1692133599.403,-1.832,3.103,1.136
1692133599.466,-1.832,3.006,0.957
1692133599.466,-1.944,3.357,0.852
1692133599.466,-2.198,3.125,1.144
1692133599.513,-2.579,2.879,0.912
1692133599.513,-1.929,2.520,0.912
1692133599.513,-2.677,2.265,0.606
1692133599.571,-3.065,2.565,0.464
1692133599.571,-2.766,2.923,0.135
1692133599.571,-2.348,3.200,0.217
1692133599.627,-2.385,3.260,0.142
1692133599.627,-2.191,3.118,0.464
1692133599.627,-2.325,3.267,0.456
1692133599.687,-2.355,2.849,0.553
1692133599.687,-2.430,2.572,0.770
1692133599.687,-2.617,2.535,0.628
1692133599.750,-2.759,2.916,0.508
1692133599.750,-2.624,3.275,0.232
1692133599.750,-2.766,3.454,0.075
1692133599.798,-2.333,3.589,-0.037
1692133599.798,-2.318,3.372,0.135
1692133599.798,-2.677,2.961,0.516
1692133599.868,-2.594,2.826,0.793
1692133599.868,-1.951,2.789,0.807
1692133599.868,-1.839,2.946,0.950
1692133599.913,-1.959,3.335,1.151
1692133599.913,-2.288,3.409,1.219
1692133599.913,-2.737,3.492,1.129
1692133599.973,-2.796,3.432,0.725
1692133599.973,-2.542,3.267,0.546
1692133599.973,-2.161,2.983,0.621
1692133600.033,-2.108,2.811,0.628
1692133600.033,-2.049,2.535,0.650
1692133600.033,-2.019,2.295,0.867
1692133600.097,-2.138,2.587,1.166
1692133600.097,-2.071,2.505,1.398
1692133600.097,-2.026,2.557,1.615
1692133600.138,-1.765,3.028,1.525
1692133600.138,-1.839,2.991,1.802
1692133600.138,-2.011,3.006,1.622
1692133600.198,-1.966,3.006,1.630
1692133600.198,-1.540,2.961,1.211
1692133600.198,-1.622,3.080,1.144
1692133600.258,-1.794,3.155,1.174
1692133600.258,-1.480,3.200,1.107
1692133600.258,-1.862,3.559,1.368
1692133600.306,-2.116,3.305,1.413
1692133600.306,-2.265,3.065,1.226
1692133600.306,-2.236,2.744,0.965
1692133600.364,-2.422,2.579,0.621
1692133600.364,-2.789,2.565,0.135
1692133600.364,-2.497,3.013,0.067
1692133600.423,-2.340,3.514,0.284
1692133600.423,-2.310,3.529,0.351
1692133600.423,-1.854,3.604,0.501
1692133600.483,-1.899,3.574,0.912
1692133600.483,-1.929,3.088,1.271
1692133600.483,-2.094,2.393,1.256
1692133600.543,-2.198,2.213,1.114
1692133600.543,-2.520,2.550,1.159
1692133600.543,-2.310,2.565,0.957
1692133600.591,-2.191,2.729,0.680
1692133600.591,-2.004,2.789,0.688
1692133600.591,-1.615,2.811,0.897
1692133600.648,-2.310,2.452,0.845
1692133600.648,-2.295,2.624,1.054
1692133600.648,-2.168,2.774,0.673
1692133600.709,-2.101,2.841,0.770
1692133600.709,-2.370,2.834,0.740
1692133600.709,-2.572,3.125,0.890
1692133600.768,-2.617,3.110,0.396
1692133600.768,-2.766,2.819,0.419
1692133600.768,-2.520,2.804,0.202
1692133600.830,-2.475,2.894,-0.097
1692133600.830,-2.490,2.789,-0.045
1692133600.830,-2.221,2.654,0.187
1692133600.875,-2.505,2.505,0.546
1692133600.875,-2.318,2.385,0.254
1692133600.875,-2.026,2.565,0.703
1692133600.938,-2.452,2.535,1.256
1692133600.938,-2.393,2.811,1.226
1692133600.938,-2.123,2.587,1.271
1692133600.993,-2.482,2.834,1.690
1692133600.993,-2.265,2.819,1.510
1692133600.993,-2.056,2.639,1.107
1692133601.038,-2.258,2.624,1.032
1692133601.038,-2.026,2.849,0.950
1692133601.038,-2.123,2.894,0.538
1692133601.101,-2.258,2.841,0.493
1692133601.101,-2.482,2.789,0.501
1692133601.101,-2.363,2.579,0.501
1692133601.158,-2.378,2.692,0.508
1692133601.158,-2.692,2.475,0.329
1692133601.158,-2.804,2.579,0.396
1692133601.218,-2.841,2.879,0.232
1692133601.218,-2.325,3.290,0.239
1692133601.218,-2.056,3.664,0.426
1692133601.278,-1.652,3.679,0.299
1692133601.278,-1.510,3.701,0.703
1692133601.278,-1.765,3.492,1.039
1692133601.323,-1.548,3.178,1.226
1692133601.323,-1.682,2.707,1.084
1692133601.323,-2.400,2.923,1.159
1692133601.398,-2.071,2.946,0.606
1692133601.398,-2.019,2.766,0.000
1692133601.398,-1.824,2.849,-0.202
1692133601.443,-2.086,2.976,0.000
1692133601.443,-2.385,3.118,0.157
1692133601.443,-2.550,2.894,-0.179
1692133601.502,-2.527,2.639,-0.037
1692133601.502,-2.692,2.647,-0.164
1692133601.502,-2.737,2.632,0.157
1692133601.548,-3.200,2.482,0.523
1692133601.548,-3.110,2.460,0.389
1692133601.548,-3.148,2.415,0.471
1692133601.607,-3.058,2.400,0.314
1692133601.607,-2.938,2.280,0.007
1692133601.607,-2.497,2.041,-0.052
1692133601.673,-2.138,2.146,-0.127
1692133601.673,-1.981,2.303,0.224
1692133601.673,-1.899,2.527,0.456
1692133601.728,-1.705,2.609,0.561
1692133601.728,-1.809,2.916,1.144
1692133601.728,-1.787,3.208,1.555
1692133601.776,-1.690,3.484,1.809
1692133601.776,-1.712,3.409,2.071
1692133601.776,-1.495,3.484,2.123
1692133601.833,-1.765,3.581,1.847
1692133601.833,-1.398,3.634,1.593
1692133601.833,-1.428,3.649,1.525
1692133601.893,-1.682,3.716,1.293
1692133601.893,-1.465,3.574,0.852
1692133601.893,-1.832,3.290,0.621
1692133601.956,-2.206,2.923,0.553
1692133601.956,-2.400,2.998,0.815
1692133601.956,-2.609,2.871,1.047
1692133602.000,-3.073,2.998,0.987
1692133602.000,-2.587,3.185,0.576
1692133602.000,-2.370,3.469,0.688
1692133602.058,-2.183,3.626,0.695
1692133602.058,-1.772,3.417,1.047
1692133602.058,-1.735,3.357,0.830
1692133602.118,-1.877,3.297,1.249
1692133602.118,-1.839,3.230,1.331
1692133602.118,-2.176,3.058,1.421
1692133602.178,-2.280,2.983,0.979
1692133602.178,-2.310,3.185,0.673
1692133602.178,-2.161,3.170,0.307
1692133602.239,-1.936,3.208,0.703
1692133602.239,-1.735,3.006,1.114
1692133602.239,-2.071,2.976,1.436
1692133602.283,-2.101,2.811,1.480
1692133602.283,-2.041,2.916,1.473
1692133602.283,-1.794,3.043,1.450
1692133602.342,-1.637,3.028,1.600
1692133602.342,-1.735,3.200,1.817
1692133602.342,-2.206,3.043,2.221
1692133602.403,-2.079,3.125,2.041
1692133602.403,-2.430,3.252,2.094
1692133602.403,-2.714,3.529,1.809
1692133602.466,-2.677,3.694,1.122
1692133602.466,-2.273,3.679,0.688
1692133602.466,-1.929,3.499,0.434
1692133602.513,-1.578,3.439,0.426
1692133602.513,-1.727,3.409,0.680
1692133602.513,-1.675,3.380,0.606
1692133602.567,-1.712,3.252,0.621
1692133602.567,-1.847,3.267,0.725
1692133602.567,-1.869,3.200,0.785
1692133602.627,-1.712,3.036,0.695
1692133602.627,-2.228,2.923,0.598
1692133602.627,-2.572,2.766,0.830
1692133602.703,-2.452,3.028,0.486
1692133602.703,-2.415,3.163,0.456
1692133602.703,-2.243,3.215,0.733
1692133602.750,-1.914,3.088,0.830
1692133602.750,-1.914,2.991,0.897
1692133602.750,-1.929,2.707,0.972
1692133602.798,-1.929,2.624,1.211
1692133602.798,-2.340,2.707,1.331
1692133602.798,-2.699,2.923,1.249
1692133602.852,-2.535,3.252,1.249
1692133602.852,-1.847,3.649,1.084
1692133602.852,-2.079,3.723,1.174
1692133602.912,-2.026,3.656,1.608
1692133602.912,-2.153,3.380,1.226
