timestamps,X,Y,Z
1689164086.567,-0.210,-0.014,0.977
1689164086.567,-0.215,-0.019,0.977
1689164086.567,-0.214,-0.016,0.977
1689164086.627,-0.213,-0.020,0.978
1689164086.627,-0.212,-0.013,0.973
1689164086.627,-0.203,-0.012,0.971
1689164086.676,-0.199,-0.008,0.970
1689164086.676,-0.202,-0.006,0.977
1689164086.676,-0.204,-0.011,0.976
1689164086.732,-0.201,-0.005,0.978
1689164086.732,-0.200,-0.006,0.984
1689164086.732,-0.202,-0.003,0.985
1689164086.792,-0.206,-0.001,0.984
1689164086.792,-0.204,-0.001,0.977
1689164086.792,-0.208,0.005,0.981
1689164086.867,-0.209,0.005,0.981
1689164086.867,-0.211,0.007,0.984
1689164086.867,-0.212,0.015,0.987
1689164086.915,-0.209,0.017,0.986
1689164086.915,-0.208,0.020,0.987
1689164086.915,-0.200,0.018,0.987
1689164086.989,-0.194,0.019,0.988
1689164086.989,-0.193,0.018,0.991
1689164086.989,-0.189,0.013,0.989
1689164087.017,-0.190,0.018,0.987
1689164087.017,-0.192,0.016,0.987
1689164087.017,-0.198,0.008,0.988
1689164087.077,-0.194,0.011,0.981
1689164087.077,-0.195,0.010,0.979
1689164087.077,-0.195,0.007,0.979
1689164087.138,-0.201,0.011,0.984
1689164087.138,-0.197,0.009,0.980
1689164087.138,-0.199,0.010,0.984
1689164087.197,-0.196,0.010,0.979
1689164087.197,-0.197,0.006,0.981
1689164087.197,-0.201,0.008,0.983
1689164087.242,-0.194,0.011,0.979
1689164087.242,-0.196,0.013,0.972
1689164087.242,-0.196,0.013,0.988
1689164087.302,-0.194,0.018,0.994
1689164087.302,-0.189,0.017,0.993
1689164087.302,-0.187,0.013,0.987
1689164087.362,-0.176,0.012,0.979
1689164087.362,-0.174,0.008,0.981
1689164087.362,-0.177,0.007,0.984
1689164087.409,-0.176,0.004,0.987
1689164087.409,-0.174,0.007,0.983
1689164087.409,-0.171,0.002,0.985
1689164087.471,-0.170,0.002,0.994
1689164087.471,-0.173,0.004,0.994
1689164087.471,-0.170,0.002,0.989
1689164087.527,-0.174,0.003,0.985
1689164087.527,-0.181,0.003,0.989
1689164087.527,-0.176,0.005,0.986
1689164087.587,-0.175,0.004,0.987
1689164087.587,-0.175,0.006,0.987
